year,contribution
2025,90000
2026,96667
2027,103333
2028,110000
2029,116667
2030,123333
2031,130000
2032,136667
2033,143333
2034,150000
2035,153000
2036,156060
2037,159181
2038,162365
2039,165612
2040,168924
2041,172303
2042,175749
2043,179264
2044,182849
2045,186506
2046,190236
2047,194041
2048,197922
2049,201880
2050,205918
2051,210036
2052,214237
2053,218522
2054,222892
2055,227350
2056,231897
2057,236535
2058,241266
2059,246091
2060,251013
2061,256033
2062,261154
2063,266377
2064,271704
